Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Albania,334084,3595,328802,1687,116553,1254,1941032,677173,2866374
Andorra,47781,165,47563,53,616824,2130,249838,3225256,77463
Austria,5747540,21589,5702341,23610,633917,2381,205247898,22637528,9066710
Belarus,994037,7118,985592,1327,105381,755,13646641,1446722,9432800
Belgium,4686147,33478,4631003,21666,401614,2869,36481740,3126574,11668278
Bosnia and Herzegovina,401232,16244,378996,5992,123482,4999,1883616,579696,3249317
Bulgaria,1294604,38154,1253005,3445,189142,5574,10952860,1600220,6844597
Channel Islands,100846,220,100278,348,571485,1247,1252808,7099551,176463
Croatia,1266749,17790,1247874,1085,312062,4383,5457095,1344348,4059286
Czechia,4586086,42269,4537555,6262,427138,3937,56853138,5295174,10736784
Denmark,3171515,7982,3160653,2880,543538,1368,129094301,22124320,5834950
Estonia,613206,2896,524990,85320,463879,2191,3648199,2759794,1321910
Faeroe Islands,34658,28,25780,8850,703959,569,778000,15802409,49233
Finland,1449824,8557,1433382,7885,260996,1540,12007701,2161618,5554960
France,39467281,163644,39106729,196908,601777,2495,271490188,4139547,65584518
Germany,37649808,164391,37169700,315717,448834,1960,122332384,1458359,83883596
Gibraltar,20379,111,16579,3689,604646,3293,534283,15852213,33704
Greece,5548487,34779,5513708,0,537819,3371,102228365,9909078,10316637
Hungary,2191200,48629,2133974,8597,228101,5062,11394556,1186160,9606259
Iceland,208539,229,20539,8000,603773,663,1996384,5780036,345393
Ireland,1699347,8431,1678684,12232,338502,1679,12962679,2582105,5020199
Isle of Man,38008,116,36572,1320,443335,1353,150753,1758422,85732
Italy,25363742,185993,24824106,353643,420886,3086,264182282,4383839,60262770
Latvia,975035,6203,968291,541,527377,3355,7854953,4248591,1848837
Liechtenstein,21319,88,21211,20,555370,2292,112457,2929559,38387
Lithuania,1293703,9525,1278440,5738,486042,3579,10337843,3883913,2661708
Luxembourg,297757,1133,288991,7633,463528,1764,4412567,6869188,642371
Malta,116882,822,115325,735,263228,1851,2105916,4742702,444033
Moldova,597598,11947,504142,81509,148909,2977,3216305,801437,4013171
Monaco,16040,65,15951,24,403187,1634,78646,1976875,39783
Montenegro,285773,2794,282452,527,455089,4449,2690571,4284690,627950
Netherlands,8578818,22989,8534990,20839,498437,1336,25984435,1509718,17211447
North Macedonia,346297,9633,336460,204,166385,4628,2213883,1063700,2081304
Norway,1477205,4571,1470825,1809,268029,829,11002430,1996315,5511370
Poland,6374645,118675,5335940,920030,168910,3145,38070118,1008753,37739785
Portugal,5557941,25805,5529271,2865,548090,2545,45879317,4524333,10140570
Romania,3319680,67504,3244581,7595,174432,3547,26244526,1379017,19031335
Russia,21876336,394569,21293221,188546,150037,2706,273400000,1875095,145805947
San Marino,23290,121,23034,135,683292,3550,157634,4624732,34085
Serbia,2462353,17630,2428623,16100,284566,2037,12040278,1391454,8653016
Slovakia,1860315,20894,1838674,747,340705,3827,7384670,1352456,5460193
Slovenia,1318939,7039,1303847,8053,634705,3387,2818352,1356259,2078034
Spain,13711251,117759,13522850,70642,293483,2521,471036328,10082298,46719142
Sweden,2687840,22610,2637324,27906,263025,2213,19369173,1895413,10218971
Switzerland,4384899,14451,4352143,18305,499781,1647,23318743,2657819,8773637
UK,24243393,202157,23949907,91329,353929,2951,522526476,7628357,68497907
Ukraine,5364322,110920,5247508,5894,124197,2568,32603805,754855,43192122